program,signals,p_int_given_signal_mean,p_int_given_signal_std,p_int_given_signal_count,p_int_given_nosignal_mean,p_int_given_nosignal_std,p_int_given_nosignal_count,pct_matches_from_signal_mean,pct_matches_from_signal_std,pct_matches_from_signal_count,pct_match_from_nosignal_mean,pct_match_from_nosignal_std,pct_match_from_nosignal_count,reviews_per_program_mean,reviews_per_program_std,reviews_per_program_count,unfilled_positions_mean,unfilled_positions_std,unfilled_positions_count,p1_a1,p1_a2,p1_a3,p1_a4,p1_a5,p1_a6,p1_a7,p1_a8,p1_a9,p1_a10,p2_a1,p2_a2,p2_a3,p2_a4,p2_a5,p2_a6,p2_a7,p2_a8,p2_a9,p2_a10,p3_a1,p3_a2,p3_a3,p3_a4,p3_a5,p3_a6,p3_a7,p3_a8,p3_a9,p3_a10,p4_a1,p4_a2,p4_a3,p4_a4,p4_a5,p4_a6,p4_a7,p4_a8,p4_a9,p4_a10,p5_a1,p5_a2,p5_a3,p5_a4,p5_a5,p5_a6,p5_a7,p5_a8,p5_a9,p5_a10,p6_a1,p6_a2,p6_a3,p6_a4,p6_a5,p6_a6,p6_a7,p6_a8,p6_a9,p6_a10,p7_a1,p7_a2,p7_a3,p7_a4,p7_a5,p7_a6,p7_a7,p7_a8,p7_a9,p7_a10,p8_a1,p8_a2,p8_a3,p8_a4,p8_a5,p8_a6,p8_a7,p8_a8,p8_a9,p8_a10,p9_a1,p9_a2,p9_a3,p9_a4,p9_a5,p9_a6,p9_a7,p9_a8,p9_a9,p9_a10,p10_a1,p10_a2,p10_a3,p10_a4,p10_a5,p10_a6,p10_a7,p10_a8,p10_a9,p10_a10,p_int_given_signal_ci,p_int_given_signal_lower,p_int_given_signal_upper,p_int_given_nosignal_ci,p_int_given_nosignal_lower,p_int_given_nosignal_upper,pct_matches_from_signal_ci,pct_matches_from_signal_lower,pct_matches_from_signal_upper,pct_match_from_nosignal_ci,pct_match_from_nosignal_lower,pct_match_from_nosignal_upper,reviews_per_program_ci,reviews_per_program_lower,reviews_per_program_upper,unfilled_positions_ci,unfilled_positions_lower,unfilled_positions_upper,expect_int_per_signal_mean,expect_int_per_signal_ci,expect_int_per_signal_lower,expect_int_per_signal_upper
Anesthesiology,1,0.9995825280820739,0.0011257255537967209,50,0.13215796366145555,0.021404118407426228,50,0.9998170362463835,0.00040724653236770824,50,0.000182963753616458,0.0004072465323676993,50,639.3174186053707,64.25510771922308,50,0.04,0.28284271247461895,50,0.8538774414358196,0.14422782244829216,0.001894736115888172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8596243148921572,0.13762350259342865,0.00275218251441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39907920116747525,0.06662811563550113,0.265736774454991,0.2526022116038493,0.015953697138183107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48155825185077034,0.4918903189125576,0.02655142923667196,0.0,0.0,0.0,0.0,0.0,0.000100502512562814,0.0,0.48205983762680094,0.4769718099190815,0.0222417990223817,0.014638751637118363,0.0036317437264990703,0.00035555555555555405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606033578795604,0.13830045936142116,0.00109618275901825,0.0,0.0,0.0,0.0,9.174311926605399e-05,0.000535318062698716,0.0,0.8531459923676461,0.14333237351540298,0.00289457293498614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39676514146890973,0.07021231614985361,0.26513120617869185,0.2529657047795785,0.014925631422966141,0.0,0.0,0.0,0.0,0.0,0.000175492610837438,0.0,0.48149434320046913,0.49489313001994256,0.023437034168750835,0.0,0.0,0.0,0.0,0.0,0.000284000856714498,0.00017391304347826001,0.48752435900667856,0.4889672078801441,0.0230505192129846,0.00031203520375510004,0.9992704928783188,0.999894563285829,0.00593291893031467,0.12622504473114088,0.13809088259177021,0.00011288297958355001,0.9997041532668,0.9999299192259671,0.00011288297958354753,7.008077403291046e-05,0.00029584673320000554,17.810607178500806,621.5068114268698,657.1280257838715,0.07839999999999997,-0.03839999999999997,0.11839999999999998,0.9995825280820739,0.00031203520375510004,0.9992704928783188,0.999894563285829
Anesthesiology,2,0.9914098108157046,0.006737633764129198,50,0.10084130008288689,0.022252081129025172,50,0.9999910913140312,6.299392260014244e-05,50,8.90868596882e-06,6.299392260014069e-05,50,602.0155382444578,57.43046608221182,50,0.62,2.059225136614573,50,0.9874025922176582,0.01259740778234175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954831652409974,0.10451683475900271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2834199306585033,0.18273528746843792,0.42707235470574845,0.10677242716731022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5951715752554296,0.4044553465085889,0.00037307823598146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21001611889011632,0.7475941918500892,0.025017235063532393,0.01737245419626204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867557877866088,0.013244212213391176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89383332767543,0.10616667232457005,0.0,0.0,0.0,0.0,0.0,0.0,8.7336244541484e-05,0.0,0.27376305716817967,0.19302500453881866,0.43121613662722863,0.10190846542123136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855526330964559,0.41353148916604476,0.000915877737499272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21303850532359367,0.7579702606074745,0.028991234068931636,0.001867576797316742,0.9895422340183878,0.9932773876130213,0.006167962205043987,0.0946733378778429,0.10700926228793087,1.746102449888768e-05,0.9999736302895323,1.00000855233853,1.7461024498887197e-05,-8.552338530067196e-06,2.63697104677072e-05,15.918913029266909,586.0966252151909,617.9344512737248,0.570788086771264,0.04921191322873597,1.190788086771264,1.9828196216314091,0.003735153594633484,1.9790844680367756,1.9865547752260426
Anesthesiology,3,0.9598212017008358,0.022904690325031545,50,0.0734479916081507,0.02496896996742449,50,1.0,0.0,50,0.0,0.0,50,516.5991117880992,35.328695070262775,50,2.08,3.2878254087416727,50,0.9988156444684897,0.0011843555315102581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067436741620721,0.09325632583792785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772555900156022,0.19291389317135227,0.49011118762531214,0.03971932918773331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5996079133285842,0.4003920866714158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12659815141507097,0.8401518478294909,0.012914722720660379,0.02033527803477767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986296653623924,0.0013703346376075082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9017913454863897,0.09820865451361022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704496454412602,0.19239075482862425,0.5003978703225045,0.036761729407610924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5898545316921768,0.4100553782177331,9.009009009009e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12815283845331277,0.8571821049305729,0.014665056616114338,0.006348856245124623,0.9534723454557112,0.9661700579459604,0.006921045369417969,0.06652694623873273,0.08036903697756867,0.0,1.0,1.0,0.0,0.0,0.0,9.792614663024587,506.8064971250746,526.3917264511238,0.9113387076164383,1.1686612923835618,2.991338707616438,2.8794636051025075,0.01904656873537387,2.8604170363671337,2.8985101738378813
Anesthesiology,4,0.9046803725705714,0.038444440369328,50,0.04856865164081683,0.02021435595715284,50,1.0,0.0,50,0.0,0.0,50,414.9074540527839,36.34854475761369,50,0.5,1.5811388300841898,50,0.9988819993892379,0.001118000610762074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9075477023565338,0.09245229764346613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200085067396802,0.5696573021173439,0.10923439857210056,0.0010997925708753579,0.0,0.0,0.0,0.0,0.0,0.0,0.09214552476666725,0.7101377190777278,0.19547209195906975,0.002244664196535086,0.0,0.0,0.0,0.0,0.0,0.0,0.08451385265445356,0.6978706354380791,0.2018021778226327,0.014725154802036405,0.001088179282797984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43031567627646977,0.52729663654462,0.04174629035632999,0.0006413968225801819,0.0,0.0,0.0,0.0,0.0,0.0,0.43918445271842954,0.518619608430797,0.04139087882361021,0.000805060027163028,0.0,0.0,0.0,0.0,0.0,0.0,0.20956755840542896,0.24102820421723392,0.020101652265712346,0.44332481212900565,0.08417207061137773,0.0018057023712411521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847525349249773,0.14825000806200436,0.004224642688222586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83673280789236,0.15942577961481477,0.003841412492825094,0.0,0.0,0.010656255197756885,0.8940241173728145,0.9153366277683284,0.005603133604451611,0.04296551803636522,0.05417178524526844,0.0,1.0,1.0,0.0,0.0,0.0,10.075302573873577,404.83215147891036,424.9827566266575,0.43826932358995874,0.06173067641004126,0.9382693235899587,3.6187214902822857,0.04262502079102754,3.576096469491258,3.6613465110733134
Anesthesiology,5,0.8284715606188392,0.057144277595191945,50,0.02974465193579755,0.016119355043896836,50,1.0,0.0,50,0.0,0.0,50,311.9783039436372,41.61130219062796,50,2.2,3.757984696561687,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9293358784982552,0.07066412150174484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30492531652725346,0.5835919450926985,0.11148273838004792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078780740650692,0.7128672407658208,0.20816487138418188,0.000187147199305252,0.0,0.0,0.0,0.0,0.0,0.0,0.0743557876174626,0.7023060014882045,0.21019230859915033,0.012665233538651509,0.000480668756530824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4290654819599286,0.5274442417192695,0.042361431668763695,0.00112884465203809,0.0,0.0,0.0,0.0,0.0,0.0,0.4188978933896677,0.5358664987111131,0.0449823798373548,0.00025322806186431996,0.0,0.0,0.0,0.0,0.0,0.0,0.20210897148920678,0.24098260423353848,0.0227574462853159,0.44327122487122805,0.08851443174994944,0.002365321370761168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8394263177052068,0.15713362190004976,0.003440060394743374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8221514804975285,0.17262952768388815,0.005218991818583188,0.0,0.0,0.015839585627878155,0.8126319749909611,0.8443111462467173,0.004468057261878068,0.025276594673919482,0.03421270919767562,0.0,1.0,1.0,0.0,0.0,0.0,11.534064509574304,300.44423943406287,323.5123684532115,1.0416602133133432,1.158339786686657,3.2416602133133434,4.142357803094196,0.07919792813939078,4.063159874954805,4.221555731233587
Anesthesiology,6,0.7378858972493002,0.07125764084846123,50,0.01620104669477226,0.013037513207383599,50,1.0,0.0,50,0.0,0.0,50,243.56951699186786,31.428311219215406,50,3.96,5.110852798362579,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9521187774081179,0.04788122259188206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33830070439001614,0.5633418217458036,0.0983574738641801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894641911586116,0.7422205653250202,0.17883301555911854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07151062382945687,0.7160568017850995,0.19916265483960294,0.012036773864626305,0.001233145681214346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44115958697514157,0.52165365051132,0.03571897057896465,0.0014677919345736782,0.0,0.0,0.0,0.0,0.0,0.0,0.4405158006783958,0.5143554138373275,0.04373403277064027,0.001394752713636314,0.0,0.0,0.0,0.0,0.0,0.0,0.20756162765175554,0.233102626910667,0.020896169974877993,0.4518258170767508,0.08392905537813444,0.0026847030078140637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8377251877006731,0.15778719160852495,0.004487620690801882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8434164245918006,0.1520940035440762,0.004489571864123188,0.0,0.0,0.019751610333678567,0.7181342869156216,0.7576375075829788,0.003613814287510046,0.012587232407262214,0.019814860982282308,0.0,1.0,1.0,0.0,0.0,0.0,8.711483417864597,234.85803357400326,252.28100040973246,1.4166561191764215,2.5433438808235787,5.376656119176421,4.4273153834958014,0.1185096620020714,4.30880572149373,4.545825045497873
Anesthesiology,7,0.6785586196353631,0.0762349853381793,50,0.010010602367163855,0.007958397038634869,50,1.0,0.0,50,0.0,0.0,50,209.5641529867858,24.211972834256795,50,8.6,7.583548251421142,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9483246280322842,0.051675371967715655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29424677463591753,0.5828931363421731,0.12286008902190934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05878993576704573,0.7168770637066886,0.22433300052626554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055419353818585336,0.7043333479606778,0.22849585162724548,0.010229088830504586,0.001437612000274828,8.4745762711864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.40713068320951146,0.540129078606967,0.050392880454315,0.002347357729206444,0.0,0.0,0.0,0.0,0.0,0.0,0.4010970200682477,0.5464909117225172,0.05130838562410862,0.001103682585126408,0.0,0.0,0.0,0.0,0.0,0.0,0.19750882805770542,0.24465805398593143,0.02200022306928157,0.44524952868926393,0.08816526001764631,0.002418106180171178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8243217165463826,0.16908568234510807,0.006592601108509249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8190522850394113,0.17693768694886353,0.004010028011725048,0.0,0.0,0.021131259837743173,0.6574273597976199,0.6996898794731063,0.0022059551132503122,0.007804647253913543,0.012216557480414168,0.0,1.0,1.0,0.0,0.0,0.0,6.711216469386921,202.8529365173989,216.27536945617274,2.1020523304618273,6.497947669538172,10.702052330461827,4.749910337447542,0.14791881886420222,4.60199151858334,4.897829156311745
Anesthesiology,8,0.5892568687782083,0.07743570087192515,50,0.004843410086388152,0.005248567503703128,50,1.0,0.0,50,0.0,0.0,50,201.8253414522882,14.060328981267244,50,12.58,7.494460539325709,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9540152740889127,0.04598472591108724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664345251493558,0.6165315391315956,0.017033935719048512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914917231084521,0.8173737860275732,0.09113449086397463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028878023649600765,0.6277988030763797,0.3375868901335183,0.005736283140501176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779746230660014,0.32078019067204644,0.0012451862619521801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3741689132374733,0.6090271020945657,0.016803984667960948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05248860825957572,0.3765426851544533,0.04200590031949343,0.5261252312546689,0.002837575011808476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952609412937897,0.047390587062103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6982610126335329,0.301096174019991,0.0006428133464759401,0.0,0.0,0.02146408120344876,0.5677927875747595,0.610720949981657,0.0014548286879664618,0.0033885813984216905,0.006298238774354614,0.0,1.0,1.0,0.0,0.0,0.0,3.897324355600181,197.92801709668802,205.72266580788838,2.077358476527342,10.502641523472658,14.657358476527342,4.714054950225666,0.17171264962759009,4.542342300598076,4.885767599853256
Anesthesiology,9,0.5487238221034727,0.06586513161698612,50,0.002642744884272521,0.0028451451178328397,50,1.0,0.0,50,0.0,0.0,50,205.29956178623274,15.825074098540235,50,18.78,9.577375551213368,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9592805510452963,0.04071944895470363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3271092321700008,0.657833152242388,0.01505761558761108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06606351675700374,0.8303355772367692,0.10360090600622693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019375143501358317,0.588684081314356,0.3867649250257477,0.005175850158537793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6621574417611271,0.3369586830973559,0.0008838751415170601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3528545204830571,0.6259672926194582,0.02117818689748479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04902234105440366,0.3779586059759067,0.04047561523792366,0.5279556601909688,0.004587777540797072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9524999791163395,0.047500020883660385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6614591286917227,0.33726770136025475,0.0012731699480224977,0.0,0.0,0.01825688303436522,0.5304669390691075,0.5669807051378379,0.0007886339912615246,0.0018541108930109963,0.0034313788755340456,0.0,1.0,1.0,0.0,0.0,0.0,4.386486745480097,200.91307504075266,209.68604853171283,2.6547130617074224,16.12528693829258,21.434713061707424,4.938514398931254,0.164311947309287,4.774202451621967,5.102826346240541
Anesthesiology,10,0.4833071597348935,0.06542752487377824,50,0.0013856501293817893,0.0022681186724261724,50,1.0,0.0,50,0.0,0.0,50,218.1169984055269,20.740159576284896,50,27.86,9.58742799243906,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763907926086755,0.023609207391324456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3797360462061502,0.6119270772381136,0.008336876555736126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09448669093655432,0.8256849567562745,0.07982835230717114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283141974558018,0.6431941052865022,0.32470824120899294,0.0037834560487029338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934330227119808,0.30590995641515384,0.0006570208728652719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378451658552595,0.6081228626320586,0.013425478815346281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04555030919689753,0.389201467326582,0.033545932333664374,0.5280417441830589,0.003660546959797032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9568606992871639,0.04313930071283604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6894632528454326,0.309810713296945,0.0007260338576223341,0.0,0.0,0.018135584633684042,0.4651715751012095,0.5014427443685776,0.0006286904207728833,0.000756959708608906,0.0020143405501546726,0.0,1.0,1.0,0.0,0.0,0.0,5.748878931878607,212.3681194736483,223.86587733740552,2.657499456255824,25.202500543744176,30.517499456255823,4.833071597348935,0.18135584633684043,4.651715751012095,5.014427443685776
