program,signals,p_int_given_signal_mean,p_int_given_signal_std,p_int_given_signal_count,p_int_given_nosignal_mean,p_int_given_nosignal_std,p_int_given_nosignal_count,pct_matches_from_signal_mean,pct_matches_from_signal_std,pct_matches_from_signal_count,pct_match_from_nosignal_mean,pct_match_from_nosignal_std,pct_match_from_nosignal_count,reviews_per_program_mean,reviews_per_program_std,reviews_per_program_count,unfilled_positions_mean,unfilled_positions_std,unfilled_positions_count,p1_a1,p1_a2,p1_a3,p1_a4,p1_a5,p1_a6,p1_a7,p1_a8,p1_a9,p1_a10,p2_a1,p2_a2,p2_a3,p2_a4,p2_a5,p2_a6,p2_a7,p2_a8,p2_a9,p2_a10,p3_a1,p3_a2,p3_a3,p3_a4,p3_a5,p3_a6,p3_a7,p3_a8,p3_a9,p3_a10,p4_a1,p4_a2,p4_a3,p4_a4,p4_a5,p4_a6,p4_a7,p4_a8,p4_a9,p4_a10,p5_a1,p5_a2,p5_a3,p5_a4,p5_a5,p5_a6,p5_a7,p5_a8,p5_a9,p5_a10,p6_a1,p6_a2,p6_a3,p6_a4,p6_a5,p6_a6,p6_a7,p6_a8,p6_a9,p6_a10,p7_a1,p7_a2,p7_a3,p7_a4,p7_a5,p7_a6,p7_a7,p7_a8,p7_a9,p7_a10,p8_a1,p8_a2,p8_a3,p8_a4,p8_a5,p8_a6,p8_a7,p8_a8,p8_a9,p8_a10,p9_a1,p9_a2,p9_a3,p9_a4,p9_a5,p9_a6,p9_a7,p9_a8,p9_a9,p9_a10,p10_a1,p10_a2,p10_a3,p10_a4,p10_a5,p10_a6,p10_a7,p10_a8,p10_a9,p10_a10,p_int_given_signal_ci,p_int_given_signal_lower,p_int_given_signal_upper,p_int_given_nosignal_ci,p_int_given_nosignal_lower,p_int_given_nosignal_upper,pct_matches_from_signal_ci,pct_matches_from_signal_lower,pct_matches_from_signal_upper,pct_match_from_nosignal_ci,pct_match_from_nosignal_lower,pct_match_from_nosignal_upper,reviews_per_program_ci,reviews_per_program_lower,reviews_per_program_upper,unfilled_positions_ci,unfilled_positions_lower,unfilled_positions_upper,expect_int_per_signal_mean,expect_int_per_signal_ci,expect_int_per_signal_lower,expect_int_per_signal_upper
Anesthesiology,1,0.9996382190466906,0.0007718075793335075,50,0.053107576125973985,0.008690940203558786,50,0.9999062862176052,0.00024733728906545124,50,9.371378239482201e-05,0.00024733728906541704,50,1535.851150884004,168.81408819324523,50,0.38,0.9233921492109893,50,0.8485753634102118,0.14895640873847626,0.0024682278513119536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543253233998779,0.1425961680690618,0.0030785085310602238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40225077083607647,0.06697698398634552,0.25556026305165674,0.2622296103558002,0.012982371770120902,0.0,0.0,0.0,0.0,0.0,0.000191387559808612,0.0,0.4931255054723145,0.48240641813146423,0.02427668883641257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47787415029206587,0.4747142005785132,0.026716185635963004,0.017712642758872323,0.00289807497187363,8.4745762711864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8498577421851721,0.14793999423384857,0.002202263580979292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552688944289655,0.14175452563646138,0.0029765799345730943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39234350919887995,0.07257764196672518,0.25356242606669827,0.2654447251477155,0.01607169761998093,0.0,0.0,0.0,0.0,0.0,0.000569549191613198,0.0,0.49019150935411127,0.48468020407196855,0.02455873738230693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4899472399855832,0.4855011379403625,0.024551622074054272,0.00021393414626221576,0.9994242849004283,0.9998521531929528,0.0024090057191066983,0.05069857040686729,0.05551658184508068,6.855839874068332e-05,0.9998377278188646,0.9999748446163459,6.855839874067385e-05,2.5155383654148163e-05,0.00016227218113549585,46.79287791633689,1489.058272967667,1582.644028800341,0.2559512453573922,0.12404875464260778,0.6359512453573922,0.9996382190466906,0.00021393414626221576,0.9994242849004283,0.9998521531929528
Anesthesiology,2,0.9920649030760967,0.005089102613157529,50,0.041711260188247924,0.009730051878573169,50,1.0,0.0,50,0.0,0.0,50,1467.3769844644148,163.35855981127722,50,0.06,0.4242640687119285,50,0.8900178467627095,0.1099821532372905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921086822813282,0.10771194191429599,0.000179375804375804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4125265965641499,0.05224041833394613,0.2506703338907009,0.2824530670667888,0.002109584144414048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4796977743090391,0.5163194550001309,0.003982770690829968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4680854429407371,0.5077162384475348,0.0035460007047796362,0.01650654718275837,0.004145770724190046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8915927516854397,0.10840724831456025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833925575456739,0.11660744245432605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41746441321235545,0.05035331810225292,0.2607643990299675,0.2689266511867538,0.002491218468670182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742455024431985,0.52110778547946,0.0046467120773414075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4680263857846985,0.5262862828421648,0.005687331373136618,0.0014106272754238042,0.9906542758006729,0.9934755303515206,0.002697032780537309,0.039014227407710614,0.044408292968785235,0.0,1.0,1.0,0.0,0.0,0.0,45.28068259970956,1422.0963018647053,1512.6576670641243,0.1176,-0.0576,0.17759999999999998,1.9841298061521935,0.0028212545508476084,1.9813085516013458,1.9869510607030412
Anesthesiology,3,0.9604535551170994,0.018703361639368768,50,0.028460763817972613,0.008980697710287882,50,1.0,0.0,50,0.0,0.0,50,1249.4663184608057,93.89079122526941,50,0.58,1.3715773728798235,50,0.914583380211712,0.08541661978828799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163562293173071,0.08364377068269283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4250005702552577,0.043116940554055294,0.25460447269148045,0.2769898153386648,0.000288201160541584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4881702112029471,0.5113705418898712,0.000459246907181648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47481455289165125,0.5072255541236061,0.001081933357050964,0.01576741654755639,0.001110543080135148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9093062794513791,0.09069372054862081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9112598778956307,0.08874012210436925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42530375562208655,0.0401997646176106,0.2542596870681211,0.2790665314644784,0.001170261227703222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47803397536500425,0.5206946772076341,0.001271347427361648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894480717962365,0.5097361549221776,0.000815773281585834,0.005184307347703343,0.955269247769396,0.9656378624648028,0.002489322402286576,0.02597144141568604,0.030950086220259188,0.0,1.0,1.0,0.0,0.0,0.0,26.025199545212487,1223.4411189155933,1275.4915180060182,0.3801818512238584,0.19981814877614157,0.9601818512238584,2.8813606653512984,0.015552922043110028,2.865807743308188,2.8969135873944083
Anesthesiology,4,0.9077693199468436,0.03383476849012777,50,0.018797803281150317,0.007536582711689834,50,1.0,0.0,50,0.0,0.0,50,981.0379595920673,83.06448460452279,50,1.58,2.186134413404031,50,0.7113048309093684,0.2835857323709543,0.005109436719677276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009302783154537,0.2946488798892439,0.004420841795302452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4638494526832008,0.43459431147999106,0.09433649968272721,0.007219736154080876,0.0,0.0,0.0,0.0,0.0,0.0,0.2593807890492559,0.5487091168575704,0.18559999786975825,0.006310096223415384,0.0,0.0,0.0,0.0,0.0,0.0,0.25655997426933236,0.5379523426013765,0.1878728731172019,0.017440896968610918,0.00017391304347826001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4355674907075376,0.523116630497054,0.04016541001297006,0.001150468782438152,0.0,0.0,0.0,0.0,0.0,0.0,0.44693916720371696,0.5186852199520413,0.03392581068338714,0.0004498021608545,0.0,0.0,0.0,0.0,0.0,0.0,0.2064811561069179,0.24125695669426367,0.020622393571579748,0.4447887182011503,0.08552825147758654,0.0013225239485016242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8417471145164729,0.15496402945455726,0.0032888560289698983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8338781269235556,0.1616549517216194,0.00446692135482497,0.0,0.0,0.009378519341784538,0.898390800605059,0.9171478392886282,0.0020890341470243983,0.016708769134125917,0.020886837428174716,0.0,1.0,1.0,0.0,0.0,0.0,23.024300453132465,958.0136591389348,1004.0622600451998,0.6059655435748801,0.97403445642512,2.18596554357488,3.6310772797873745,0.03751407736713815,3.593563202420236,3.668591357154513
Anesthesiology,5,0.8108753515020023,0.05221791996842442,50,0.009126790202821963,0.005203762796839829,50,1.0,0.0,50,0.0,0.0,50,635.1405876977454,129.02391119790278,50,4.4,3.822596617217045,50,0.795518373407846,0.20431175606883736,0.000169870523316622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7844861546398867,0.21497201621777404,0.000541829142339226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48300509240489853,0.43045749687524565,0.08544257746987136,0.001094833249984378,0.0,0.0,0.0,0.0,0.0,0.0,0.22581727162751292,0.619984277392965,0.1520555152561086,0.002142935723413386,0.0,0.0,0.0,0.0,0.0,0.0,0.21406161163407034,0.6078855813960145,0.1670033757398182,0.010949928742534707,9.9502487562188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676260008660011,0.5011613003226347,0.030931391041372533,0.000281307769991594,0.0,0.0,0.0,0.0,0.0,0.0,0.466053912592141,0.49759680017327773,0.03590202813490658,0.000447259099674586,0.0,0.0,0.0,0.0,0.0,0.0,0.21111400209301967,0.24344330583971815,0.015651970914030925,0.4513130483088027,0.07726235641466178,0.001215316429766682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8513948618010599,0.14640456989243733,0.002200568306502694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8525215812583677,0.14276738408558617,0.00471103465604611,0.0,0.0,0.014474068961178699,0.7964012825408235,0.825349420463181,0.0014424094568420331,0.00768438074597993,0.010569199659663997,0.0,1.0,1.0,0.0,0.0,0.0,35.7636035569532,599.3769841407923,670.9041912546986,1.0595697239917725,3.340430276008228,5.459569723991773,4.054376757510012,0.0723703448058935,3.9820064127041177,4.126747102315905
Anesthesiology,6,0.740728712685113,0.0708932893476145,50,0.0058540460640404855,0.004194348230341885,50,1.0,0.0,50,0.0,0.0,50,448.60485540688353,110.38133899907459,50,7.76,5.687652218191794,50,0.8063512729678092,0.19317864156210526,0.000470085470085468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8083665853207119,0.19163341467928807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4678246934020236,0.4334178853532388,0.09772073397377783,0.0010366872709596999,0.0,0.0,0.0,0.0,0.0,0.0,0.17926321699099781,0.6338441552441132,0.1857196513329683,0.0011729764319205161,0.0,0.0,0.0,0.0,0.0,0.0,0.179036006773927,0.6157793544602289,0.19028193259616974,0.013968089183027976,0.0009346169866462981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4405415152972194,0.5144204834577356,0.04395553845735579,0.0010824627876891279,0.0,0.0,0.0,0.0,0.0,0.0,0.43689493360726284,0.5201331700236477,0.04216784372422202,0.0008040526448674521,0.0,0.0,0.0,0.0,0.0,0.0,0.21129315379109317,0.242689144787993,0.014172162449769442,0.44650858840340485,0.08392222302434925,0.001414727543390134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8474125932790784,0.1497857720172791,0.0028016347036424177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8395055148502089,0.15687141762714582,0.00362306752264534,0.0,0.0,0.019650617250220753,0.7210780954348922,0.7603793299353337,0.0011626140139223565,0.004691432050118129,0.007016660077962842,0.0,1.0,1.0,0.0,0.0,0.0,30.596146182497126,418.0087092243864,479.20100158938067,1.5765367613855374,6.183463238614462,9.336536761385537,4.444372276110678,0.11790370350132451,4.326468572609353,4.562275979612003
Anesthesiology,7,0.6464469000588062,0.06450123862611568,50,0.002328853307527304,0.0019416291373656903,50,1.0,0.0,50,0.0,0.0,50,301.55540043159147,64.82661984280433,50,14.98,6.166036003787196,50,0.8501631059800602,0.14983689401993988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8528207850753842,0.14717921492461583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4889916505060091,0.42909698041557903,0.08145793606991263,0.000453433008499086,0.0,0.0,0.0,0.0,0.0,0.0,0.1699489978269908,0.6767590414625145,0.15290273387456055,0.00038922683593405603,0.0,0.0,0.0,0.0,0.0,0.0,0.16934227119302478,0.6629480830176142,0.1571382324451472,0.009128075408796031,0.001353247845327558,9.009009009009e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.44870109892422483,0.5197751400547211,0.030858018395976895,0.000665742625077016,0.0,0.0,0.0,0.0,0.0,0.0,0.4818120859462308,0.49248986239534914,0.024956513713017155,0.000741537945402822,0.0,0.0,0.0,0.0,0.0,0.0,0.21649700640887748,0.23797841611608037,0.013189161993376467,0.45847841203951495,0.07347087445100918,0.000386128991141416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8579696719575377,0.13955893594797988,0.002471392094482406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552589103233618,0.1409591319160336,0.0037819577606045917,0.0,0.0,0.017878831185163563,0.6285680688736427,0.6643257312439698,0.0005381921387956211,0.001790661168731683,0.002867045446322925,0.0,1.0,1.0,0.0,0.0,0.0,17.969022256961743,283.5863781746297,319.5244226885532,1.7091379815567842,13.270862018443216,16.689137981556783,4.525128300411644,0.12515181829614494,4.399976482115499,4.650280118707788
Anesthesiology,8,0.6112384493784584,0.07305561131507549,50,0.0019625143227057313,0.0017413336006719261,50,1.0,0.0,50,0.0,0.0,50,271.34503656354957,54.30500637823699,50,29.98,9.4426085984148,50,0.7319515540402586,0.2668839134675911,0.001164532492150394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281548001868097,0.2704999213727956,0.00134527844039468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4625967415410063,0.45249597236910255,0.08405715239545974,0.0008501336944313959,0.0,0.0,0.0,0.0,0.0,0.0,0.24718439402636894,0.5818657130366893,0.16567475230698261,0.005186251741070212,8.8888888888888e-05,0.0,0.0,0.0,0.0,0.0,0.2440459773559587,0.5687252933631767,0.1706678854510686,0.016470346092239373,9.049773755656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44980351783074246,0.5378654097000433,0.012240574731657633,9.049773755656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4455501151598181,0.5428969313317606,0.011552953508421253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21392332086864102,0.24823647372103877,0.0048590457193659455,0.4611416841331088,0.07166556251436706,0.00017391304347826001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8732915058803228,0.1267084941196772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8659038690254528,0.1337048706921798,0.00039126028236736,0.0,0.0,0.02024998232053047,0.590988467057928,0.6314884316989888,0.00048267304855849775,0.0014798412741472335,0.002445187371264229,0.0,1.0,1.0,0.0,0.0,0.0,15.052579798872594,256.29245676467696,286.3976163624222,2.6173575682355663,27.362642431764435,32.597357568235566,4.889907595027667,0.16199985856424376,4.727907736463424,5.051907453591911
Anesthesiology,9,0.5446101633727728,0.06973895712765336,50,0.0009095991718513565,0.001053367741787435,50,1.0,0.0,50,0.0,0.0,50,238.97992512229365,33.672628932940256,50,38.42,8.08649668097555,50,0.7676466754997597,0.23235332450024032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7737923604316387,0.2251431267580093,0.00106451281035192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669368682963222,0.4539789406928056,0.07798683934538798,0.0010973516654841661,0.0,0.0,0.0,0.0,0.0,0.0,0.23389467790198307,0.6240564290840698,0.14069750880728063,0.001351384206666452,0.0,0.0,0.0,0.0,0.0,0.0,0.2255323740789246,0.606750567524159,0.15157688021092058,0.015961606757424307,0.000178571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4542612808490318,0.535229064949392,0.010509654201576245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515801699242034,0.5385039691035811,0.0099158609722155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21795901102654963,0.2485290022195457,0.00407936958260137,0.46582097507088754,0.0636116421004156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765118064328056,0.12311858195814616,0.00036961160904822596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8754470085238601,0.1245529914761399,0.0,0.0,0.0,0.01933065268315391,0.5252795106896189,0.5639408160559267,0.0002919786415340137,0.0006176205303173427,0.0012015778133853702,0.0,1.0,1.0,0.0,0.0,0.0,9.333576549473273,229.6463485728204,248.31350167176691,2.2414625225508455,36.178537477449154,40.66146252255085,4.901491470354955,0.17397587414838517,4.72751559620657,5.07546734450334
Anesthesiology,10,0.4832117353251252,0.053755263682012944,50,0.0002809409961679275,0.0002902203669802042,50,1.0,0.0,50,0.0,0.0,50,230.04628987858712,18.394247741707012,50,51.96,14.581173212224657,50,0.8256741097067956,0.17432589029320444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8325202602736345,0.16747973972636557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4957950709380398,0.4468662894072734,0.0573386396546867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21854756915693963,0.684666063785609,0.09678636705745132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22090752734071115,0.6647629591768036,0.10070287655718196,0.013131542103808678,0.000495094821494544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48167041663199833,0.5143544664251303,0.003975116942871324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4736608869167951,0.52214333980616,0.004195773277044828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309269906068387,0.23178508882869836,0.00199158276669177,0.4766595240978146,0.05863681369995648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8912670166775513,0.10873298332244861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8937365290209911,0.10626347097900884,0.0,0.0,0.0,0.014900198897816738,0.46831153642730844,0.4981119342229419,8.04449814958191e-05,0.00020049601467210838,0.0003613859776637466,0.0,1.0,1.0,0.0,0.0,0.0,5.098625346690655,224.94766453189646,235.14491522527777,4.041695010759717,47.91830498924028,56.00169501075972,4.832117353251252,0.14900198897816738,4.6831153642730845,4.9811193422294195
